# kind	id	version	content hash (dalicc-c14n-1)
dependency-graph	dg_br	1	sha256:d3b90fff9a873f18ce2524d75966e885037e4815d3e4b8c4299115295cb485f3
dependency-graph	dg_br	2	sha256:50857c2ac933ba123dd21c211cea064472be99c77dfacdb094210f242476ea2b
dependency-graph	dg_cn	1	sha256:ea234dfc3a42fa535eb98ec1108c8b75766b30fae7950696296be4255f29c7cb
dependency-graph	dg_cn	2	sha256:27a15eb52b0582cf8411e936dbf6c1ad9b2e54666c945dbb79548ae2b3ee4465
dependency-graph	dg_default	1	sha256:ea2d9f7a2fecaba9bf93e5dc682d418e7785b77f2f0f7a941e52f97912b8d899
dependency-graph	dg_default	2	sha256:26ca6cd83a3ba32d2c227beb8366ae8d8dc915ded060d08912e9430d8ed35fa3
dependency-graph	dg_eu	1	sha256:e733b4abfd47bec4d082bb32295d61ee2984bc21660e30d8fc7f4bb6882a722d
dependency-graph	dg_eu	2	sha256:d03bca8b1914f768353c3bb948f709bc98e8a3873ad87bc36a2de50740324ddd
dependency-graph	dg_gb	1	sha256:77e9a1184521eaabb5f261476df17f9330efa40dc75cba13b47994cc657046be
dependency-graph	dg_gb	2	sha256:ddd9d18286184dd91da8e3f96e1f845d3d27a60b34ab5fbf4262a72c872130e4
dependency-graph	dg_in	1	sha256:3e964dadee013092d03680a7d9ead7fe7fa503c282f7869699b698afaf41b686
dependency-graph	dg_in	2	sha256:12cba960584f9563ea8db4283b9e6961f8e099f51ef2153e6a60872566b1adc9
dependency-graph	dg_jp	1	sha256:4f726b92773be7120f3fdc03bbd4bf20eb464b1cad0f71e83128ac7138ffa8b8
dependency-graph	dg_jp	2	sha256:452dda1d33d24fd3fd701c0a05fe3c6929e40d16d6d0add210c87269b24a5368
dependency-graph	dg_us	1	sha256:88f016980380902363d237dae382968a76bca702d5690c9790a7aae0cb0cec10
dependency-graph	dg_us	2	sha256:b6e060b754b7f72005c14e812b159908cf3e4f913f3597cff488e85b1e124701
vocabulary	dalicc-ns	1	sha256:f781c32371c19d794600984a60f2dcf94f974eedf379e80c757b13f52555003a
vocabulary	dalicc-ns	2	sha256:5a538e4afdc69631ef416b2fce5988133399e1b65e257c2e242322a03d4ef7e3
